ts_ms,open,high,low,close,volume
1711324800000,67212.69,71269.92,66381.84,69890.28,22228.13803338
1711411200000,69895.6,71582.96,69269.69,69992.4,15697.73440865
1711497600000,69994.9,71789.85,68369.62,69435.96,18703.73738295
1711584000000,69437.16,71635.99,68841.01,70801.18,15224.17928189
1711670400000,70804.06,70941.7,69036.95,69903.75,7365.03204354
1711756800000,69903.74,70363.25,69569.03,69626.87,3262.62331859
1711843200000,69623.86,71399.91,69587.86,71288.9,4424.66955382
1711929600000,71291.5,71313.8,68055.15,69681.82,13916.60016523
1712016000000,69681.85,69711.0,64521.61,65464.14,23496.58634089
1712102400000,65472.0,66944.06,64500.0,65987.92,14506.55934744
1712188800000,65984.18,69367.19,65073.95,68525.23,18624.08140025
1712275200000,68528.69,68783.99,66000.0,67856.51,15515.82134206
1712361600000,67856.51,69685.0,67469.19,68919.89,3985.44167764
1712448000000,68919.57,70312.0,68846.23,69350.34,5766.41938443
1712534400000,69350.36,72777.0,69037.33,71622.53,16648.69284289
1712620800000,71616.31,71761.37,68200.0,69117.01,15143.52341376
1712707200000,69115.79,71159.6,67463.07,70634.04,16655.987797
1712793600000,70638.4,71305.86,69530.0,70020.73,11001.16448135
1712880000000,70020.71,71265.74,65110.31,67148.61,23509.75554216
1712966400000,67148.62,69100.0,60822.01,64024.77,27548.47240557
1713052800000,64021.36,65890.91,62150.0,65777.05,21604.05147827
1713139200000,65764.56,66928.82,62315.08,63452.18,21672.73701332
1713225600000,63452.18,64400.0,61645.09,63814.94,17710.28213211
1713312000000,63814.94,64524.14,59648.33,61279.36,21812.15297865
1713398400000,61275.73,64210.0,60816.07,63513.85,15249.84211445
1713484800000,63514.84,65498.99,59573.32,63848.37,22838.07934159
1713571200000,63841.96,65463.08,63121.15,64968.87,5157.40726514
1713657600000,64960.82,65725.81,64250.0,64952.92,4487.48723219
1713744000000,64952.92,67272.73,64520.0,66859.17,10977.05178637
1713830400000,66856.07,67225.66,65823.66,66414.16,8840.16749844
1713916800000,66418.0,67077.97,63542.56,64255.78,15083.5524347
1714003200000,64255.77,65287.69,62747.18,64484.44,13256.29877715
1714089600000,64484.44,64810.0,63287.76,63742.39,10151.96247701
1714176000000,63742.39,63900.0,62389.0,63422.0,5312.16741262
1714262400000,63422.34,64333.33,62743.81,63108.94,4415.96831554
1714348800000,63109.76,64200.0,61741.01,63844.85,10712.13554316
1714435200000,63845.01,64727.81,59040.3,60622.1,21106.65540758
1714521600000,60621.2,60785.49,56500.0,58265.59,26611.9312734
1714608000000,58267.81,59641.03,56903.79,59071.89,13593.00905888
1714694400000,59070.3,63365.72,58821.05,62913.03,15954.29032707
1714780800000,62913.03,64546.0,62565.82,63902.88,6414.57464352
1714867200000,63902.88,64636.75,62908.34,64023.45,4474.5195919
1714953600000,64023.45,65523.44,62704.48,63162.24,11241.77217344
1715040000000,63161.35,64415.06,62252.64,62315.76,8994.93773002
1715126400000,62315.75,63013.05,60851.04,61169.53,7486.42596849
1715212800000,61169.53,63424.14,60601.6,63073.57,8360.0553824
1715299200000,63073.55,63470.0,60150.0,60787.47,11511.12990976
1715385600000,60787.99,61482.0,60450.13,60814.63,2338.06810837
1715472000000,60814.64,61843.45,60576.05,61453.02,2694.97577935
